period,periodOrder,region,sampleCount,medianChlorophyllA,medianSuspendedSolids,medianSalinity,medianSecchiDepthM,wetSeasonMedianSS,wetSeasonMedianSalinity,wetSeasonMedianChl,drySeasonMedianSS,drySeasonMedianSalinity,drySeasonMedianChl
2021-2022,1,Burdekin region,136,0.3,1.61,34.53,4,1.63,34.39,0.29,1.6,34.58,0.33
2021-2022,1,Cape York region,266,0.26,1.36,33.48,6.6,1.39,33.45,0.25,1.27,33.84,0.26
2021-2022,1,Fitzroy region,144,0.31,1.53,35.42,5.25,1.58,35.38,0.31,1.28,35.5,0.28
2021-2022,1,Mackay Whitsunday region,73,0.38,1.54,35.16,4.75,1.32,34.74,0.47,1.91,35.37,0.36
2021-2022,1,Wet Tropics region,302,0.32,1.33,33.63,6,1.33,33.3,0.32,1.34,34.28,0.32
2024-2025,2,Burdekin region,139,0.47,1.48,33.77,4,1.67,31.88,0.54,1.35,35.41,0.36
2024-2025,2,Cape York region,199,0.36,0.9,33.56,6.5,0.82,33.17,0.36,1.78,33.61,0.37
2024-2025,2,Fitzroy region,109,0.39,1.17,35.56,5.75,1.37,35.85,0.42,0.89,35.4,0.27
2024-2025,2,Mackay Whitsunday region,64,0.49,2.48,34.98,4,2.59,34.51,0.57,2.08,35.67,0.41
2024-2025,2,Wet Tropics region,268,0.37,1.46,33.03,5,1.51,31.5,0.47,1.46,34.81,0.25
