period,periodOrder,region,shortName,locationName,date,year,month,monthLabel,season,latitude,longitude,sampleDepthM,chlorophyllA,suspendedSolids,salinity,temperatureC,secchiDepthM,phaeo,silica,dissolvedInorganicPhosphorus,dissolvedInorganicNitrogen
2024-2025,2,Fitzroy region,FTZ6,Fitzroy River Mouth,2024-01-09,2024,1,Jan,Wet season,-23.47015,150.94095,10.3,0.914,8.135,35.273,27.632,2,0.642,4.18,0.065,0.4475
2024-2025,2,Fitzroy region,FTZ5,Peak West,2024-01-09,2024,1,Jan,Wet season,-23.3408833,150.9036167,9.2,0.3163,0.6825,35.8945,29.196,7,0.225,2.005,0.025,0.30000000000000004
2024-2025,2,Fitzroy region,FTZ3,Pelican Island,2024-01-09,2024,1,Jan,Wet season,-23.2324833,150.8734167,12,0.323,0.55,35.534,28.9895,4,0.223,2.8825,0.0375,0.275
2024-2025,2,Fitzroy region,FTZ2,Humpy Island,2024-01-09,2024,1,Jan,Wet season,-23.2166833,150.9600333,16.7,0.385,0.24,35.586,28.676,8,0.2058,1.0975,0.03,0.335
2024-2025,2,Fitzroy region,FTZ1,Barren Island,2024-01-09,2024,1,Jan,Wet season,-23.1515333,151.0690667,19.2,0.3158,0.07,35.54,28.5325,10,0.1613,0.9275,0.0325,0.4925
2024-2025,2,Fitzroy region,FTZ4,North Keppel Island,2024-01-10,2024,1,Jan,Wet season,-23.0932833,150.9137833,21,0.4288,0.5625,35.5475,28.901,9,0.2545,0.7575,0.0225,0.3825
2024-2025,2,Fitzroy region,FTZ6,Fitzroy River Mouth,2024-02-11,2024,2,Feb,Wet season,-23.466485,150.9414017,12,1.0263,28.27,35.542,,0.8,0.7043,8.1,0.1925,1.355
2024-2025,2,Fitzroy region,FTZ6,Fitzroy River Mouth,2024-02-11,2024,2,Feb,Wet season,-23.466485,150.9414017,12,1.0315,29.12,35.542,,0.8,0.8165,,,
2024-2025,2,Fitzroy region,FTZ5,Peak West,2024-02-10,2024,2,Feb,Wet season,-23.3407667,150.90495,12.5,1.0093,14.04,35.636,,1,0.7533,5.6925,0.115,0.6625
2024-2025,2,Fitzroy region,FTZ3,Pelican Island,2024-02-11,2024,2,Feb,Wet season,-23.2322367,150.8717667,11,1.0383,13.25,35.5665,,1,0.7695,4.42,0.0975,0.33749999999999997
2024-2025,2,Fitzroy region,FTZ2,Humpy Island,2024-02-10,2024,2,Feb,Wet season,-23.21605,150.9580833,18,0.4388,1.6125,35.9905,,5,0.3378,3.33,0.03,0.2175
2024-2025,2,Fitzroy region,FTZ2,Humpy Island,2024-02-10,2024,2,Feb,Wet season,-23.2162667,150.9634,,0.404,1.73,36.034,,,0.357,,,
2024-2025,2,Fitzroy region,FTZ1,Barren Island,2024-02-10,2024,2,Feb,Wet season,-23.1511467,151.0698283,20.5,0.485,1.9575,35.8585,,5,0.3563,3.5075,0.025,0.22250000000000003
2024-2025,2,Fitzroy region,FTZ1,Barren Island,2024-02-10,2024,2,Feb,Wet season,-23.1566117,151.07276,,0.3775,1.185,35.851,,,0.2535,,,
2024-2025,2,Fitzroy region,FTZ4,North Keppel Island,2024-02-10,2024,2,Feb,Wet season,-23.0906333,150.9137717,22.5,0.7693,1.385,35.913,,4.5,0.4223,1.3125,0.03,0.1625
2024-2025,2,Fitzroy region,FTZ6,Fitzroy River Mouth,2024-04-02,2024,4,Apr,Wet season,-23.47075,150.9394,8.6,0.506,5.6,35.5575,26.3015,3,0.4148,3.375,0.0725,0.5599999999999999
2024-2025,2,Fitzroy region,FTZ5,Peak West,2024-04-02,2024,4,Apr,Wet season,-23.3410333,150.9050167,7.5,0.3473,3.2475,35.69,26.3665,3,0.2768,2.425,0.0325,0.4475
