period,periodOrder,region,shortName,locationName,latitude,longitude,sampleCount,meanChlorophyllA,meanSuspendedSolids,meanSalinity,meanSecchiDepthM,wetSeasonMeanSS,wetSeasonMeanSalinity,wetSeasonMeanChl,drySeasonMeanSS,drySeasonMeanSalinity,drySeasonMeanChl
2021-2022,1,Burdekin region,BUR1,Palms West,-18.543,146.4690333,25,0.28,1.18,34.48,7.02,1.44,34.3,0.24,0.8,34.76,0.34
2021-2022,1,Burdekin region,BUR10,Yongala IMOS NRS,-19.2996,147.62165,8,0.2,0.26,34.88,14.5,0.34,34.77,0.23,0.18,34.99,0.18
2021-2022,1,Burdekin region,BUR11,Cape Bowling Green,-19.36,147.4863333,1,0.56,1.57,33.76,3.4,,,,1.57,33.76,0.56
2021-2022,1,Burdekin region,BUR12,Plantation Creek,-19.5035,147.6018333,1,1.42,1.35,19.13,1.9,,,,1.35,19.13,1.42
2021-2022,1,Burdekin region,BUR13,Burdekin River mooring,-19.5885833,147.5819667,25,0.57,9.42,32.85,1.83,9,32.87,0.57,10.04,32.83,0.57
2021-2022,1,Burdekin region,BUR14,Hell Hole Creek,-19.6385,147.6043333,1,0.58,325.63,0,,,,,325.63,0,0.58
2021-2022,1,Burdekin region,BUR15,Groper Creek,-19.719,147.6245,1,0.34,9.68,9.07,0.9,,,,9.68,9.07,0.34
2021-2022,1,Burdekin region,BUR2,Pandora,-18.8200333,146.43505,25,0.24,1.59,34.42,5.99,1.79,34.22,0.22,1.29,34.71,0.26
2021-2022,1,Burdekin region,BUR3,Cordelia Rocks,-18.9921667,146.7048333,1,0.08,0.05,32.67,8,,,,0.05,32.67,0.08
2021-2022,1,Burdekin region,BUR4,Geoffrey Bay,-19.1549833,146.8686,24,0.34,2.12,34.35,4.23,1.91,34.13,0.32,2.4,34.66,0.37
2021-2022,1,Burdekin region,BUR5,Cleveland Bay,-19.2331,146.85305,1,0.2,1.34,32.52,2.1,,,,1.34,32.52,0.2
2021-2022,1,Burdekin region,BUR6,Cape Cleveland,-19.1897,147.0511667,1,0.4,1.6,34.54,2.9,,,,1.6,34.54,0.4
2021-2022,1,Burdekin region,BUR7,Haughton 2,-19.2828167,147.1740167,19,0.29,2.42,34.39,4.86,2.44,34.49,0.28,2.39,34.17,0.31
2021-2022,1,Burdekin region,BUR8,Haughton River,-19.3663333,147.1381667,2,0.47,8.71,26.76,1.8,,,,8.71,26.76,0.47
