regionCode,displayName,waterQualityCondition,rainfallMm,dischargeGl,sampleCount,wetSeasonMedianSS,sortOrder,x,y
CY,Cape York,Moderate,1449,16415,199,0.82,1,31,14
CY,Cape York,Moderate,1449,16415,199,0.82,2,45,15
CY,Cape York,Moderate,1449,16415,199,0.82,3,60,16
CY,Cape York,Moderate,1449,16415,199,0.82,4,71,17
WT,Wet Tropics,Moderate,2063,23487,268,1.51,1,31,31
WT,Wet Tropics,Moderate,2063,23487,268,1.51,2,47,32
WT,Wet Tropics,Moderate,2063,23487,268,1.51,3,62,33
WT,Wet Tropics,Moderate,2063,23487,268,1.51,4,74,34
BU,Burdekin,Moderate,702,12721,139,1.67,1,31,48
BU,Burdekin,Moderate,702,12721,139,1.67,2,47,49
BU,Burdekin,Moderate,702,12721,139,1.67,3,63,49
BU,Burdekin,Moderate,702,12721,139,1.67,4,75,49
MW,Mackay Whitsunday,Poor,1550,6197,64,2.59,1,31,65
MW,Mackay Whitsunday,Poor,1550,6197,64,2.59,2,47,65
MW,Mackay Whitsunday,Poor,1550,6197,64,2.59,3,61,64
MW,Mackay Whitsunday,Poor,1550,6197,64,2.59,4,72,64
FT,Fitzroy,Moderate,716,9226,109,1.37,1,31,82
FT,Fitzroy,Moderate,716,9226,109,1.37,2,46,80
FT,Fitzroy,Moderate,716,9226,109,1.37,3,62,80
FT,Fitzroy,Moderate,716,9226,109,1.37,4,75,82
