regionCode,regionOrder,region,measureCode,measureOrder,measure,shortLabel,unit,targetMode,yearLabel,reportingWindow,gradeLetter,gradeLabel,gradeRank,targetValue,latestValue,overallProgress,latestChange,areaHectares,rainfallMm,dischargeGl,statusNote,narrative,sourceUrl
GBR,0,Great Barrier Reef wide,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,reduce,2021-2022,2021-2022 progress,E,Very poor,1,60,0.7,28.4,,42400000,888,73501,,"The dissolved inorganic nitrogen load leaving catchments showed a cumulative reduction of 28.4% to June 2022 and a modelled reduction of 0.7% (approximately 35 tonnes) from July 2020 to June 2022. 

The Burdekin region recorded the greatest modelled load reduction of 2% (approximately 15 tonnes). The majority of the load reductions were a result of adopting practices that reduced the nitrogen surplus in sugarcane and improved mill mud application.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=GBR
GBR,0,Great Barrier Reef wide,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,D,Poor,2,25,0.8,16,,42400000,888,73501,,"The fine sediment load leaving catchments showed a cumulative reduction of 16.0% to June 2022 and a modelled reduction of 0.8% (approximately 48 kilotonnes) from July 2020 to June 2022. 

The greatest modelled reduction was 1.3% (approximately 17 kilotonnes) in the Fitzroy region, with the majority of the load reduction attributed to streambank repair projects in the Fitzroy catchment. 

Mackay region continued to improve with a modelled reduction of 1.2% (approximately 5 kilotonnes). This reduction is attributable to a significant number of streambank rehabilitation projects undertaken in the O'Connell catchment.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=GBR
GBR,0,Great Barrier Reef wide,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,C,Moderate,3,20,1.1,15.4,,42400000,888,73501,,"The particulate nitrogen load leaving catchments showed a cumulative reduction of 15.4% to June 2022 and a modelled reduction of 1.1% (approximately 120 tonnes) from July 2020 to June 2022. 

The greatest modelled reduction occurred in the Fitzroy Region 1.9% (approximately 52 tonnes). The majority of the change occurred in the Fitzroy catchment and was achieved primarily through gully remediation and grazing management change.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=GBR
GBR,0,Great Barrier Reef wide,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,20,1.1,18.5,,42400000,888,73501,,"The particulate phosphorus load leaving catchments showed a cumulative reduction of 18.5% to June 2022 and a modelled reduction of 1.1% (approximately 60 tonnes) from July 2020 to June 2022. 

The Fitzroy region achieved the highest modelled reduction 1.6% (approximately 25 tonnes). The majority of the change occurred in the Fitzroy catchment and was achieved primarily through gully remediation and grazing management change.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=GBR
GBR,0,Great Barrier Reef wide,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,B,Good,4,99,95,95,-2.4,42400000,888,73501,,"The pesticide risk condition in 2021 and 2022 indicated that 97.4% and 95% of aquatic species, respectively, were unlikely to experience harmful effects from pesticides. While this result represents the overall risk across all Great Barrier Reef catchments, some regions and catchments had a much lower level of protection and will require considerably larger improvements to meet the target.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=GBR
CY,1,Cape York region,DIN,1,Dissolved Inorganic N,DIN,Percent reduction,maintain,2021-2022,2021-2022 progress,MCL,Maintain current load,0,0,,,,4298255,1449,16415,Minimal anthropogenic dissolved inorganic nitrogen loads; maintain current water quality.,,https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=DIN&area=CY
CY,1,Cape York region,FS,2,Sediment,Sediment,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,5,0.9,,,4298255,1449,16415,,"The 2025 water quality target for fine sediment loads was met previously. The Cape York region continued to improve with a 0.9% reduction (approximately 1.5 kilotonnes) in the modelled fine sediment load from July 2020 to June 2022 (13.1% reduction overall). These reductions were attributed to improved grazing management only and included streambank protection in the Endeavour, and hillslope and gully projects in the Normanby.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=FS&area=CY
CY,1,Cape York region,PN,3,Particulate N,Particulate N,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,5,0.2,,,4298255,1449,16415,,"The 2025 water quality target for particulate nitrogen loads was previously met for Cape York. The region continues to improve with a 0.2% reduction (approximately 0.9 tonnes) in the modelled particulate nitrogen load from July 2020 to June 2022. These reductions were attributed to improvements in the Normanby and Endeavour catchments. Management practice changes were reported in grazing lands only, and included streambank protection in the Endeavour, and hillslope and gully projects in the Normanby.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PN&area=CY
CY,1,Cape York region,PP,4,Particulate P,Particulate P,Percent reduction,reduce,2021-2022,2021-2022 progress,A,Very good,5,5,0.6,,,4298255,1449,16415,,"The 2025 water quality target for particulate phosphorus loads was previously met for Cape York. The region continues to improve with a 0.6% reduction (approximately 0.9 tonnes) in the modelled particulate phosphorus load from July 2020 to June 2020. These reductions were attributed to improvements in the Normanby and Endeavour catchments. Management practice changes were reported in grazing lands only, and included streambank protection in the Endeavour, and hillslope and gully projects in the Normanby.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PP&area=CY
CY,1,Cape York region,PEST,5,Pesticides,Pesticides,Percent protected,protect,2021-2022,2022 condition,TM,Target met at baseline,5,99,,99,,4298255,1449,16415,Pesticide risk target was met at baseline; later annual reassessment was not required.,"As this area met the target in the pesticide risk baseline assessment, pesticide risk condition was not assessed in subsequent years, including 2021 and 2022. The pesticide risk will be re-assessed when there are major land use changes that might affect pesticide run-off.",https://reportcard.reefplan.qld.gov.au/home?report=target&year=63feba8962a7eebd85fb06ac&measure=PEST&area=CY
